sample_id,image_filename,simulation_time,normalized_error,steering_correction,steering_target,left_speed,right_speed,line_detected,contour_area
1,frame_000001.png,0.0640,-0.062500,-0.207104,-0.138070,0.992896,1.407104,1,9770.00
2,frame_000002.png,0.1280,-0.062500,-0.165715,-0.110477,1.034285,1.365715,1,11604.50
3,frame_000003.png,0.1920,-0.056250,-0.122028,-0.081352,1.077972,1.322028,1,11201.50
4,frame_000004.png,0.2560,-0.050000,-0.092532,-0.061688,1.107468,1.292532,1,10942.50
5,frame_000005.png,0.3200,-0.043750,-0.067967,-0.045312,1.132033,1.267967,1,10806.00
6,frame_000006.png,0.3840,-0.043750,-0.072685,-0.048457,1.127315,1.272685,1,10712.00
7,frame_000007.png,0.4480,-0.043750,-0.075338,-0.050226,1.124662,1.275338,1,10645.50
8,frame_000008.png,0.5120,-0.043750,-0.076831,-0.051221,1.123169,1.276831,1,10609.50
9,frame_000009.png,0.5760,-0.037500,-0.054213,-0.036142,1.145787,1.254213,1,10566.00
10,frame_000010.png,0.6400,-0.037500,-0.060026,-0.040018,1.139974,1.260026,1,10555.50
11,frame_000011.png,0.7040,-0.037500,-0.063296,-0.042197,1.136704,1.263296,1,10531.00
12,frame_000012.png,0.7680,-0.037500,-0.065135,-0.043424,1.134865,1.265135,1,10521.00
13,frame_000013.png,0.8320,-0.037500,-0.066170,-0.044113,1.133830,1.266170,1,10500.50
14,frame_000014.png,0.8960,-0.031250,-0.043295,-0.028863,1.156705,1.243295,1,10489.00
15,frame_000015.png,0.9600,-0.031250,-0.048963,-0.032642,1.151037,1.248963,1,10474.50
16,frame_000016.png,1.0240,-0.031250,-0.052151,-0.034767,1.147849,1.252151,1,10458.50
17,frame_000017.png,1.0880,-0.031250,-0.053944,-0.035963,1.146056,1.253944,1,10452.00
18,frame_000018.png,1.1520,-0.031250,-0.054953,-0.036635,1.145047,1.254953,1,10445.50
19,frame_000019.png,1.2160,-0.031250,-0.055520,-0.037014,1.144480,1.255520,1,10444.00
20,frame_000020.png,1.2800,-0.031250,-0.055840,-0.037226,1.144160,1.255840,1,10441.00
21,frame_000021.png,1.3440,-0.031250,-0.056019,-0.037346,1.143981,1.256019,1,10441.00
22,frame_000022.png,1.4080,-0.025000,-0.032663,-0.021775,1.167337,1.232663,1,10436.00
23,frame_000023.png,1.4720,-0.025000,-0.038061,-0.025374,1.161939,1.238061,1,10431.00
24,frame_000024.png,1.5360,-0.025000,-0.041097,-0.027398,1.158903,1.241097,1,10426.00
25,frame_000025.png,1.6000,-0.025000,-0.042804,-0.028536,1.157196,1.242804,1,10421.00
26,frame_000026.png,1.6640,-0.025000,-0.043765,-0.029177,1.156235,1.243765,1,10413.00
27,frame_000027.png,1.7280,-0.025000,-0.044305,-0.029537,1.155695,1.244305,1,10404.50
28,frame_000028.png,1.7920,-0.025000,-0.044609,-0.029739,1.155391,1.244609,1,10401.50
29,frame_000029.png,1.8560,-0.025000,-0.044780,-0.029853,1.155220,1.244780,1,10405.50
30,frame_000030.png,1.9200,-0.025000,-0.044876,-0.029918,1.155124,1.244876,1,10419.50
31,frame_000031.png,1.9840,-0.025000,-0.044930,-0.029954,1.155070,1.244930,1,10428.00
32,frame_000032.png,2.0480,-0.018750,-0.024556,-0.016370,1.175444,1.224556,1,10443.00
33,frame_000033.png,2.1120,-0.018750,-0.028578,-0.019052,1.171422,1.228578,1,10452.00
34,frame_000034.png,2.1760,-0.025000,-0.054298,-0.036199,1.145702,1.254298,1,10454.50
35,frame_000035.png,2.2400,-0.018750,-0.029825,-0.019883,1.170175,1.229825,1,10467.00
36,frame_000036.png,2.3040,-0.018750,-0.031542,-0.021028,1.168458,1.231542,1,10468.00
37,frame_000037.png,2.3680,-0.018750,-0.032508,-0.021672,1.167492,1.232508,1,10477.50
38,frame_000038.png,2.4320,-0.018750,-0.033051,-0.022034,1.166949,1.233051,1,10482.50
39,frame_000039.png,2.4960,-0.018750,-0.033357,-0.022238,1.166643,1.233357,1,10498.50
40,frame_000040.png,2.5600,-0.018750,-0.033529,-0.022353,1.166471,1.233529,1,10505.00
41,frame_000041.png,2.6240,-0.018750,-0.033626,-0.022417,1.166374,1.233626,1,10510.50
42,frame_000042.png,2.6880,-0.018750,-0.033680,-0.022453,1.166320,1.233680,1,10523.00
43,frame_000043.png,2.7520,-0.018750,-0.033711,-0.022474,1.166289,1.233711,1,10528.00
44,frame_000044.png,2.8160,-0.018750,-0.033728,-0.022485,1.166272,1.233728,1,10538.00
45,frame_000045.png,2.8800,-0.025000,-0.057195,-0.038130,1.142805,1.257195,1,10549.00
46,frame_000046.png,2.9440,-0.018750,-0.031454,-0.020969,1.168546,1.231454,1,10560.00
47,frame_000047.png,3.0080,-0.025000,-0.055916,-0.037277,1.144084,1.255916,1,10565.00
48,frame_000048.png,3.0720,-0.018750,-0.030735,-0.020490,1.169265,1.230735,1,10572.00
